[PC Hunter Standard][DNF.exe-->Ring3 Hook]: 1051
挂钩对象		挂钩位置		钩子类型		挂钩处当前值		挂钩处原始值
TerSafe.dll->KERNEL32.dll:GetModuleFileNameA		0x0000000077191950->0x00000000099C1950		Iat		50 19 9C 09		50 19 19 77
[*]TerSafe.dll->KERNEL32.dll:GetModuleHandleW		0x0000000077191990->0x00000000099C1990		Iat		90 19 9C 09		90 19 19 77
TerSafe.dll->KERNEL32.dll:GetVersionExA		0x0000000077192410->0x00000000099C2410		Iat		10 24 9C 09		10 24 19 77
[*]TerSafe.dll->KERNEL32.dll:MultiByteToWideChar		0x000000007718EFB0->0x00000000099BEFB0		Iat		B0 EF 9B 09		B0 EF 18 77
TerSafe.dll->KERNEL32.dll:CreateMutexW		0x0000000077193A10->0x00000000099C3A10		Iat		10 3A 9C 09		10 3A 19 77
[*]TerSafe.dll->KERNEL32.dll:OpenMutexW		0x0000000077193A90->0x00000000099C3A90		Iat		90 3A 9C 09		90 3A 19 77
TerSafe.dll->KERNEL32.dll:GetCurrentThreadId		0x000000007718EF60->0x00000000099BEF60		Iat		60 EF 9B 09		60 EF 18 77
[*]TerSafe.dll->KERNEL32.dll:UnmapViewOfFile		0x00000000771919F0->0x00000000099C19F0		Iat		F0 19 9C 09		F0 19 19 77
TerSafe.dll->KERNEL32.dll:CreateFileMappingW		0x00000000771916F0->0x00000000099C16F0		Iat		F0 16 9C 09		F0 16 19 77
[*]TerSafe.dll->KERNEL32.dll:OpenFileMappingW		0x00000000771929A0->0x00000000099C29A0		Iat		A0 29 9C 09		A0 29 19 77
TerSafe.dll->KERNEL32.dll:GetFileSize		0x0000000077193DD0->0x00000000099C3DD0		Iat		D0 3D 9C 09		D0 3D 19 77
[*]TerSafe.dll->KERNEL32.dll:ReadFile		0x0000000077193F30->0x00000000099C3F30		Iat		30 3F 9C 09		30 3F 19 77
TerSafe.dll->KERNEL32.dll:CreateFileA		0x0000000077193BA0->0x00000000099C3BA0		Iat		A0 3B 9C 09		A0 3B 19 77
[*]TerSafe.dll->KERNEL32.dll:GetFileAttributesA		0x0000000077193D80->0x00000000099C3D80		Iat		80 3D 9C 09		80 3D 19 77
TerSafe.dll->KERNEL32.dll:WriteFile		0x0000000077194020->0x00000000099C4020		Iat		20 40 9C 09		20 40 19 77
[*]TerSafe.dll->KERNEL32.dll:CreateFileW		0x0000000077193BB0->0x00000000099C3BB0		Iat		B0 3B 9C 09		B0 3B 19 77
TerSafe.dll->KERNEL32.dll:InterlockedIncrement		0x000000007718F300->0x00000000099BF300		Iat		00 F3 9B 09		00 F3 18 77
[*]TerSafe.dll->KERNEL32.dll:InterlockedCompareExchange		0x0000000077185E40->0x00000000099B5E40		Iat		40 5E 9B 09		40 5E 18 77
TerSafe.dll->KERNEL32.dll:LocalFree		0x0000000077190960->0x00000000099C0960		Iat		60 09 9C 09		60 09 19 77
[*]TerSafe.dll->KERNEL32.dll:OpenFileMappingA		0x00000000771889F0->0x00000000099B89F0		Iat		F0 89 9B 09		F0 89 18 77
TerSafe.dll->KERNEL32.dll:GetCommandLineW		0x0000000077192930->0x00000000099C2930		Iat		30 29 9C 09		30 29 19 77
[*]TerSafe.dll->KERNEL32.dll:ExpandEnvironmentStringsA		0x0000000077192DD0->0x00000000099C2DD0		Iat		D0 2D 9C 09		D0 2D 19 77
TerSafe.dll->KERNEL32.dll:GetFileTime		0x0000000077193DF0->0x00000000099C3DF0		Iat		F0 3D 9C 09		F0 3D 19 77
[*]TerSafe.dll->KERNEL32.dll:SetThreadPriority		0x0000000077191630->0x00000000099C1630		Iat		30 16 9C 09		30 16 19 77
TerSafe.dll->KERNEL32.dll:SearchPathA		0x000000007718A300->0x00000000099BA300		Iat		00 A3 9B 09		00 A3 18 77
[*]TerSafe.dll->KERNEL32.dll:SetFilePointer		0x0000000077193FC0->0x00000000099C3FC0		Iat		C0 3F 9C 09		C0 3F 19 77
