[PC Hunter Standard][IDT]: 1536
Cpu序号		序号		函数名称		段选择子		当前函数地址		Hook		原始函数地址		当前函数地址所在模块
0		46		KiUnexpectedInterrupt22		0x02		0xFFFFF804601314B0		-		0xFFFFF804601314B0		C:\Windows\system32\ntoskrnl.exe
0		47		KiUnexpectedInterrupt23		0x02		0xFFFFF804601314B8		-		0xFFFFF804601314B8		C:\Windows\system32\ntoskrnl.exe
0		48		KiUnexpectedInterrupt24		0x02		0xFFFFF804601314C0		-		0xFFFFF804601314C0		C:\Windows\system32\ntoskrnl.exe
0		49		KiUnexpectedInterrupt25		0x02		0xFFFFF804601314C8		-		0xFFFFF804601314C8		C:\Windows\system32\ntoskrnl.exe
0		4A		KiUnexpectedInterrupt26		0x02		0xFFFFF804601314D0		-		0xFFFFF804601314D0		C:\Windows\system32\ntoskrnl.exe
0		4B		KiUnexpectedInterrupt27		0x02		0xFFFFF804601314D8		-		0xFFFFF804601314D8		C:\Windows\system32\ntoskrnl.exe
0		4C		KiUnexpectedInterrupt28		0x02		0xFFFFF804601314E0		-		0xFFFFF804601314E0		C:\Windows\system32\ntoskrnl.exe
0		4D		KiUnexpectedInterrupt29		0x02		0xFFFFF804601314E8		-		0xFFFFF804601314E8		C:\Windows\system32\ntoskrnl.exe
0		4E		KiUnexpectedInterrupt30		0x02		0xFFFFF804601314F0		-		0xFFFFF804601314F0		C:\Windows\system32\ntoskrnl.exe
0		4F		KiUnexpectedInterrupt31		0x02		0xFFFFF804601314F8		-		0xFFFFF804601314F8		C:\Windows\system32\ntoskrnl.exe
0		50		KiUnexpectedInterrupt32		0x02		0xFFFFF80460131500		-		0xFFFFF80460131500		C:\Windows\system32\ntoskrnl.exe
0		51		KiUnexpectedInterrupt33		0x02		0xFFFFF80460131508		-		0xFFFFF80460131508		C:\Windows\system32\ntoskrnl.exe
0		52		KiUnexpectedInterrupt34		0x02		0xFFFFF80460131510		-		0xFFFFF80460131510		C:\Windows\system32\ntoskrnl.exe
0		53		KiUnexpectedInterrupt35		0x02		0xFFFFF80460131518		-		0xFFFFF80460131518		C:\Windows\system32\ntoskrnl.exe
0		54		KiUnexpectedInterrupt36		0x02		0xFFFFF80460131520		-		0xFFFFF80460131520		C:\Windows\system32\ntoskrnl.exe
0		55		KiUnexpectedInterrupt37		0x02		0xFFFFF80460131528		-		0xFFFFF80460131528		C:\Windows\system32\ntoskrnl.exe
0		56		KiUnexpectedInterrupt38		0x02		0xFFFFF80460131530		-		0xFFFFF80460131530		C:\Windows\system32\ntoskrnl.exe
0		57		KiUnexpectedInterrupt39		0x02		0xFFFFF80460131538		-		0xFFFFF80460131538		C:\Windows\system32\ntoskrnl.exe
0		58		KiUnexpectedInterrupt40		0x02		0xFFFFF80460131540		-		0xFFFFF80460131540		C:\Windows\system32\ntoskrnl.exe
0		59		KiUnexpectedInterrupt41		0x02		0xFFFFF80460131548		-		0xFFFFF80460131548		C:\Windows\system32\ntoskrnl.exe
0		5A		KiUnexpectedInterrupt42		0x02		0xFFFFF80460131550		-		0xFFFFF80460131550		C:\Windows\system32\ntoskrnl.exe
0		5B		KiUnexpectedInterrupt43		0x02		0xFFFFF80460131558		-		0xFFFFF80460131558		C:\Windows\system32\ntoskrnl.exe
0		5C		KiUnexpectedInterrupt44		0x02		0xFFFFF80460131560		-		0xFFFFF80460131560		C:\Windows\system32\ntoskrnl.exe
0		5D		KiUnexpectedInterrupt45		0x02		0xFFFFF80460131568		-		0xFFFFF80460131568		C:\Windows\system32\ntoskrnl.exe
0		5E		KiUnexpectedInterrupt46		0x02		0xFFFFF80460131570		-		0xFFFFF80460131570		C:\Windows\system32\ntoskrnl.exe
0		5F		KiUnexpectedInterrupt47		0x02		0xFFFFF80460131578		-		0xFFFFF80460131578		C:\Windows\system32\ntoskrnl.exe
0		60		KiUnexpectedInterrupt48		0x02		0xFFFFF80460131580		-		0xFFFFF80460131580		C:\Windows\system32\ntoskrnl.exe
