[PC Hunter Standard][内核模块]: 203
驱动名		基地址		大小		驱动对象		驱动路径		服务名		加载顺序		文件厂商
npf.sys		0xFFFFF80464BB0000		0x00015000		0xFFFFCD87EC895E20		C:\Windows\system32\DRIVERS\npf.sys		npf		85		Insecure.Com LLC.
vwififlt.sys		0xFFFFF80464BD0000		0x0001A000		0xFFFFCD87EC8A28F0		C:\Windows\System32\drivers\vwififlt.sys		vwififlt		86		Microsoft Corporation
vfpext.sys		0xFFFFF80854230000		0x00166000		0xFFFFCD87EC8A8CA0		C:\Windows\system32\drivers\vfpext.sys		VfpExt		87		Microsoft Corporation
pacer.sys		0xFFFFF80463F40000		0x0002B000		0xFFFFCD87EC8B1CF0		C:\Windows\System32\drivers\pacer.sys		Psched		88		Microsoft Corporation
netbios.sys		0xFFFFF808543A0000		0x00014000		0xFFFFCD87EC8B4CF0		C:\Windows\system32\drivers\netbios.sys		NetBIOS		89		Microsoft Corporation
rdbss.sys		0xFFFFF808543C0000		0x0007A000		0xFFFFCD87EC771D80		C:\Windows\system32\DRIVERS\rdbss.sys		rdbss		90		Microsoft Corporation
csc.sys		0xFFFFF80461F00000		0x00094000		0xFFFFCD87EC76CDC0		C:\Windows\system32\drivers\csc.sys		CSC		91		Microsoft Corporation
nsiproxy.sys		0xFFFFF80461FA0000		0x00012000		0xFFFFCD87EC851CF0		C:\Windows\system32\drivers\nsiproxy.sys		nsiproxy		92		Microsoft Corporation
npsvctrig.sys		0xFFFFF80461FC0000		0x0000D000		0xFFFFCD87EC791CF0		C:\Windows\System32\drivers\npsvctrig.sys		npsvctrig		93		Microsoft Corporation
mssmbios.sys		0xFFFFF80461FD0000		0x00010000		0xFFFFCD87EC787CF0		C:\Windows\System32\drivers\mssmbios.sys		mssmbios		94		Microsoft Corporation
gpuenergydrv.sys		0xFFFFF80461FF0000		0x0000A000		0xFFFFCD87EC87EB40		C:\Windows\System32\drivers\gpuenergydrv.sys		GpuEnergyDrv		95		Microsoft Corporation
dfsc.sys		0xFFFFF80461800000		0x0002C000		0xFFFFCD87EC7CFE00		C:\Windows\System32\Drivers\dfsc.sys		Dfsc		96		Microsoft Corporation
bam.sys		0xFFFFF80461850000		0x00014000		0xFFFFCD87EC7C3E00		C:\Windows\system32\drivers\bam.sys		bam		97		Microsoft Corporation
ahcache.sys		0xFFFFF80461870000		0x0004E000		0xFFFFCD87EC78ECF0		C:\Windows\system32\DRIVERS\ahcache.sys		ahcache		98		Microsoft Corporation
vmbusr.sys		0xFFFFF804618C0000		0x0003C000		0xFFFFCD87EC8958F0		C:\Windows\System32\drivers\vmbusr.sys		vmbusr		99		Microsoft Corporation
hvsocket.sys		0xFFFFF80461900000		0x00028000		-		C:\Windows\System32\drivers\hvsocket.sys				100		Microsoft Corporation
winhvr.sys		0xFFFFF80461930000		0x0001E000		-		C:\Windows\System32\drivers\winhvr.sys				101		Microsoft Corporation
vmswitch.sys		0xFFFFF80461950000		0x00354000		0xFFFFCD87EC8C5CF0		C:\Windows\System32\drivers\vmswitch.sys		vmsmp		102		Microsoft Corporation
wnv.sys		0xFFFFF80461CB0000		0x000CD000		-		C:\Windows\System32\drivers\wnv.sys				103		Microsoft Corporation
loop.sys		0xFFFFF80461D80000		0x0000C000		0xFFFFCD87ECB86E30		C:\Windows\System32\drivers\loop.sys		kmloop		104		Microsoft Corporation
vmnetadapter.sys		0xFFFFF80461D90000		0x0000B000		0xFFFFCD87ECC2BD50		C:\Windows\system32\DRIVERS\vmnetadapter.sys		VMnetAdapter		105		VMware, Inc.
VMNET.SYS		0xFFFFF80461DA0000		0x0000C000		-		C:\Windows\system32\DRIVERS\VMNET.SYS				106		VMware, Inc.
Vid.sys		0xFFFFF80461DB0000		0x00084000		0xFFFFCD87EC8068F0		C:\Windows\System32\drivers\Vid.sys		Vid		107		Microsoft Corporation
CompositeBus.sys		0xFFFFF80461E40000		0x00011000		0xFFFFCD87ECBCE8F0		C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_e4d35af746093dc3\CompositeBus.sys		CompositeBus		108		Microsoft Corporation
kdnic.sys		0xFFFFF80461E60000		0x0000D000		0xFFFFCD87ECAF4D20		C:\Windows\System32\drivers\kdnic.sys		kdnic		109		Microsoft Corporation
umbus.sys		0xFFFFF80461E70000		0x00015000		0xFFFFCD87ECC09970		C:\Windows\System32\drivers\umbus.sys		umbus		110		Microsoft Corporation
igdkmd64.sys		0xFFFFF80466DB0000		0x00ECA000		0xFFFFCD87ECBE9DF0		C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_24de78387e6208e4\igdkmd64.sys		igfx		111		Intel Corporation
USBXHCI.SYS		0xFFFFF80467C80000		0x00078000		0xFFFFCD87EC6D1870		C:\Windows\System32\drivers\USBXHCI.SYS		USBXHCI		112		Microsoft Corporation
ucx01000.sys		0xFFFFF80467D00000		0x0003F000		0xFFFFCD87EC9ADA90		C:\Windows\system32\drivers\ucx01000.sys		Ucx01000		113		Microsoft Corporation
TeeDriverW8x64.sys		0xFFFFF80467D40000		0x0003A000		0xFFFFCD87ECC838F0		C:\Windows\System32\drivers\TeeDriverW8x64.sys		MEIx64		114		Intel Corporation
rt640x64.sys		0xFFFFF80466A00000		0x000F9000		0xFFFFCD87ECDC1B80		C:\Windows\System32\drivers\rt640x64.sys		rt640x64		115		Realtek                                            
HDAudBus.sys		0xFFFFF80466B00000		0x0001F000		0xFFFFCD87EC9AD870		C:\Windows\System32\drivers\HDAudBus.sys		HDAudBus		116		Microsoft Corporation
portcls.sys		0xFFFFF80466B20000		0x00065000		-		C:\Windows\System32\drivers\portcls.sys				117		Microsoft Corporation
drmk.sys		0xFFFFF80466B90000		0x00021000		-		C:\Windows\System32\drivers\drmk.sys				118		Microsoft Corporation
ks.sys		0xFFFFF80466BC0000		0x00076000		-		C:\Windows\System32\drivers\ks.sys				119		Microsoft Corporation
intelppm.sys		0xFFFFF80466C40000		0x0003E000		0xFFFFCD87ECDBED90		C:\Windows\System32\drivers\intelppm.sys		intelppm		120		Microsoft Corporation
acpipagr.sys		0xFFFFF80466C80000		0x0000B000		0xFFFFCD87ECDD4840		C:\Windows\System32\drivers\acpipagr.sys		acpipagr		121		Microsoft Corporation
wmiacpi.sys		0xFFFFF80466C90000		0x0000C000		0xFFFFCD87ECDD6060		C:\Windows\System32\drivers\wmiacpi.sys		WmiAcpi		122		Microsoft Corporation
tpm.sys		0xFFFFF80466CA0000		0x00040000		0xFFFFCD87ECDD7E10		C:\Windows\System32\drivers\tpm.sys		TPM		123		Microsoft Corporation
vpcivsp.sys		0xFFFFF80466CF0000		0x00027000		0xFFFFCD87ECDDD2F0		C:\Windows\System32\drivers\vpcivsp.sys		vpcivsp		124		Microsoft Corporation
storvsp.sys		0xFFFFF80466D20000		0x0002B000		0xFFFFCD87ECDEFB10		C:\Windows\System32\drivers\storvsp.sys		storvsp		125		Microsoft Corporation
synth3dvsp.sys		0xFFFFF80466D50000		0x00020000		0xFFFFCD87ECDF4280		C:\Windows\System32\drivers\synth3dvsp.sys		Synth3dVsp		126		Microsoft Corporation
NdisVirtualBus.sys		0xFFFFF80466D80000		0x0000D000		0xFFFFCD87ECDF4CA0		C:\Windows\System32\drivers\NdisVirtualBus.sys		NdisVirtualBus		127		Microsoft Corporation
swenum.sys		0xFFFFF80466D90000		0x0000C000		0xFFFFCD87ECDFABD0		C:\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_31f554b660026323\swenum.sys		swenum		128		Microsoft Corporation
rdpbus.sys		0xFFFFF80466DA0000		0x0000E000		0xFFFFCD87ECE0C570		C:\Windows\System32\drivers\rdpbus.sys		rdpbus		129		Microsoft Corporation
UsbHub3.sys		0xFFFFF80463740000		0x00093000		0xFFFFCD87EEEDF6C0		C:\Windows\System32\drivers\UsbHub3.sys		USBHUB3		130		Microsoft Corporation
USBD.SYS		0xFFFFF804637E0000		0x0000E000		-		C:\Windows\System32\drivers\USBD.SYS				131		Microsoft Corporation
RTKVHD64.sys		0xFFFFF80463000000		0x0060F000		0xFFFFCD87EED24E10		C:\Windows\system32\drivers\RTKVHD64.sys		IntcAzAudAddService		132		Realtek Semiconductor Corp.
ksthunk.sys		0xFFFFF80463610000		0x0000F000		0xFFFFCD87F2456E00		C:\Windows\system32\drivers\ksthunk.sys		ksthunk		133		Microsoft Corporation
IntcDAud.sys		0xFFFFF80463620000		0x00099000		0xFFFFCD87F2470E00		C:\Windows\System32\DriverStore\FileRepository\intcdaud.inf_amd64_ad5691824a5386fe\IntcDAud.sys		IntcDAud		134		Intel(R) Corporation
usbccgp.sys		0xFFFFF804636E0000		0x00031000		0xFFFFCD87F25C1E10		C:\Windows\System32\drivers\usbccgp.sys		usbccgp		135		Microsoft Corporation
hidusb.sys		0xFFFFF80463720000		0x00012000		0xFFFFCD87EAB39E10		C:\Windows\System32\drivers\hidusb.sys		HidUsb		136		Microsoft Corporation
HIDCLASS.SYS		0xFFFFF80467D80000		0x0003B000		-		C:\Windows\System32\drivers\HIDCLASS.SYS				137		Microsoft Corporation
HIDPARSE.SYS		0xFFFFF80467DC0000		0x00013000		-		C:\Windows\System32\drivers\HIDPARSE.SYS				138		Microsoft Corporation
kbdhid.sys		0xFFFFF80467DE0000		0x00011000		0xFFFFCD87F2C0EE10		C:\Windows\System32\drivers\kbdhid.sys		kbdhid		139		Microsoft Corporation
kbdclass.sys		0xFFFFF80461E90000		0x00013000		0xFFFFCD87EC9B4E10		C:\Windows\System32\drivers\kbdclass.sys		kbdclass		140		Microsoft Corporation
dump_diskdump.sys		0xFFFFF80461EB0000		0x0000F000		-		C:\Windows\System32\Drivers\dump_diskdump.sys				141		文件不存在
win32k.sys		0xFFFFCB4C53C80000		0x0008B000		-		C:\Windows\System32\win32k.sys				142		Microsoft Corporation
win32kfull.sys		0xFFFFCB4C53400000		0x00391000		-		C:\Windows\System32\win32kfull.sys				143		Microsoft Corporation
win32kbase.sys		0xFFFFCB4C537A0000		0x00268000		-		C:\Windows\System32\win32kbase.sys				144		Microsoft Corporation
dump_iaStorAC.sys		0xFFFFF80465BD0000		0x00B81000		-		C:\Windows\System32\Drivers\dump_iaStorAC.sys				145		文件不存在
dump_dumpfve.sys		0xFFFFF80466780000		0x0001D000		-		C:\Windows\System32\Drivers\dump_dumpfve.sys				146		文件不存在
mouhid.sys		0xFFFFF804667A0000		0x0000F000		0xFFFFCD87F2D58E20		C:\Windows\System32\drivers\mouhid.sys		mouhid		147		Microsoft Corporation
mouclass.sys		0xFFFFF804667B0000		0x00013000		0xFFFFCD87F2D55E10		C:\Windows\System32\drivers\mouclass.sys		mouclass		148		Microsoft Corporation
dxgmms2.sys		0xFFFFF80465A00000		0x000D8000		-		C:\Windows\System32\drivers\dxgmms2.sys				149		Microsoft Corporation
monitor.sys		0xFFFFF80465AE0000		0x00016000		0xFFFFCD87F2EE7E20		C:\Windows\System32\drivers\monitor.sys		monitor		150		Microsoft Corporation
cdd.dll		0xFFFFCB4C53A10000		0x00048000		-		C:\Windows\System32\cdd.dll				151		Microsoft Corporation
luafv.sys		0xFFFFF80465B00000		0x00029000		0xFFFFCD87F3B902E0		C:\Windows\system32\drivers\luafv.sys		luafv		152		Microsoft Corporation
wcifs.sys		0xFFFFF80465B30000		0x0002D000		0xFFFFCD87F3A24E00		C:\Windows\system32\drivers\wcifs.sys		wcifs		153		Microsoft Corporation
cldflt.sys		0xFFFFF80465390000		0x00076000		0xFFFFCD87F3CC2E00		C:\Windows\system32\drivers\cldflt.sys		CldFlt		154		Microsoft Corporation
storqosflt.sys		0xFFFFF80465B60000		0x0001B000		0xFFFFCD87F3CFA2C0		C:\Windows\system32\drivers\storqosflt.sys		storqosflt		155		Microsoft Corporation
mslldp.sys		0xFFFFF80465B80000		0x0001A000		0xFFFFCD87F3F5FCF0		C:\Windows\system32\drivers\mslldp.sys		MsLldp		156		Microsoft Corporation
vmnetbridge.sys		0xFFFFF80465BA0000		0x00012000		0xFFFFCD87F40BEE00		C:\Windows\system32\DRIVERS\vmnetbridge.sys		VMnetBridge		157		VMware, Inc.
lltdio.sys		0xFFFFF804667D0000		0x00018000		0xFFFFCD87EAA76380		C:\Windows\system32\drivers\lltdio.sys		lltdio		158		Microsoft Corporation
vmnetuserif.sys		0xFFFFF804667F0000		0x0000B000		0xFFFFCD87EAAB9AD0		C:\Windows\system32\DRIVERS\vmnetuserif.sys		VMnetuserif		159		VMware, Inc.
rspndr.sys		0xFFFFF80461EC0000		0x0001B000		0xFFFFCD87EAA72AD0		C:\Windows\system32\drivers\rspndr.sys		rspndr		160		Microsoft Corporation
