[PC Hunter Standard][Kernel Hook]: 3093
挂钩对象		挂钩位置		钩子类型		挂钩处当前值		挂钩处原始值
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0C8E3]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0CDAD]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0D4E4]->[-]		Inline		00 FA		80 F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FE0D507]->[-]		Inline		00 7D FA		40 FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0D885]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0D92A]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE0D937]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE0D949]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE0DDBD]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE1055D]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE10567]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE1057E]->[-]		Inline		00 97		80 FA
len(2) [ntoskrnl.exe]		[0xFFFFF8045FE10588]->[-]		Inline		00 97		80 FA
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE106BE]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE1070D]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE10756]->[-]		Inline		7F FA		FF F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FE1077C]->[-]		Inline		00 7D FA		40 FB F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FE108B5]->[-]		Inline		3F 7D FA		7F FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FE108DF]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE111AB]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FE1127C]->[-]		Inline		00 FA		80 F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FE11388]->[-]		Inline		00 FA		80 F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FE113B0]->[-]		Inline		00 FA		80 F6
