[PC Hunter Standard][ObjectType Hook]: 384
函数名		当前函数地址		Hook		原始函数地址		Object类型		Object地址		当前函数地址所在模块
OpenProcedure		0xFFFFF804603B4B80		-		-		WindowStation		0xFFFFCD87EAA88820		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF804603B6680		-		-		WindowStation		0xFFFFCD87EAA88820		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804603C4480		-		-		WindowStation		0xFFFFCD87EAA88820		C:\Windows\system32\ntoskrnl.exe
ParseProcedure		0xFFFFF804603BCE40		-		-		WindowStation		0xFFFFCD87EAA88820		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		WindowStation		0xFFFFCD87EAA88820		C:\Windows\system32\ntoskrnl.exe
OkayToCloseProcedure		0xFFFFF804603B5530		-		-		WindowStation		0xFFFFCD87EAA88820		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804606DCEB0		-		-		Profile		0xFFFFCD87EAA88560		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		Profile		0xFFFFCD87EAA88560		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF8046054A730		-		-		Partition		0xFFFFCD87EAA870C0		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF804606903B0		-		-		Partition		0xFFFFCD87EAA870C0		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804606904F0		-		-		Partition		0xFFFFCD87EAA870C0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		Partition		0xFFFFCD87EAA870C0		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF80463D24270		-		-		DxgkSharedKeyedMutexObject		0xFFFFCD87EC9A6E80		C:\Windows\System32\drivers\dxgkrnl.sys
DeleteProcedure		0xFFFFF80463E21030		-		-		DxgkSharedKeyedMutexObject		0xFFFFCD87EC9A6E80		C:\Windows\System32\drivers\dxgkrnl.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DxgkSharedKeyedMutexObject		0xFFFFCD87EC9A6E80		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF8046068A9C0		-		-		PsSiloContextNonPaged		0xFFFFCD87EAA87380		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		PsSiloContextNonPaged		0xFFFFCD87EAA87380		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF804603B63B0		-		-		EtwConsumer		0xFFFFCD87EABFB380		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF804603C5800		-		-		EtwConsumer		0xFFFFCD87EABFB380		C:\Windows\system32\ntoskrnl.exe
